XCoord 35.338753, YCoord 37.538002, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -4528208.000000, YCoord 4468765.000000, XVel -4.530321, YVel 4.466635, Mass 451.000000, AccelX 0.000000, AccelY -0.000000
XCoord -4628740.500000, YCoord 4568619.500000, XVel -4.630887, YVel 4.568073, Mass 461.000000, AccelX 0.000000, AccelY -0.000000
XCoord -4728933.500000, YCoord 4671059.000000, XVel -4.729585, YVel 4.669420, Mass 471.000000, AccelX 0.000000, AccelY -0.000000
XCoord -4829290.000000, YCoord 4770859.000000, XVel -4.828362, YVel 4.770684, Mass 481.000000, AccelX 0.000000, AccelY -0.000000
XCoord -4928974.500000, YCoord 4870510.000000, XVel -4.927214, YVel 4.871870, Mass 491.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5029194.500000, YCoord 4970820.500000, XVel -5.026134, YVel 4.972986, Mass 501.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5129535.500000, YCoord 5070605.000000, XVel -5.125118, YVel 5.074038, Mass 511.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5220004.000000, YCoord 5179743.000000, XVel -5.224158, YVel 5.175029, Mass 521.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5319455.000000, YCoord 5280187.000000, XVel -5.323253, YVel 5.275966, Mass 531.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5419037.000000, YCoord 5380730.500000, XVel -5.422399, YVel 5.376849, Mass 541.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5518083.000000, YCoord 5481140.000000, XVel -5.521590, YVel 5.477685, Mass 551.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5617707.000000, YCoord 5582086.500000, XVel -5.620823, YVel 5.578477, Mass 561.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5717237.000000, YCoord 5682456.500000, XVel -5.720098, YVel 5.679226, Mass 571.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5816890.500000, YCoord 5782919.500000, XVel -5.819410, YVel 5.779940, Mass 581.000000, AccelX 0.000000, AccelY -0.000000
XCoord -5916589.000000, YCoord 5883260.500000, XVel -5.918756, YVel 5.880615, Mass 591.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6014126.500000, YCoord 5985755.500000, XVel -6.018134, YVel 5.981257, Mass 601.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6113857.000000, YCoord 6086005.500000, XVel -6.117583, YVel 6.081869, Mass 611.000000, AccelX 0.000000, AccelY -0.000000
