XCoord 3.535547, YCoord 3.754205, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -463114.781250, YCoord 456858.406250, XVel -4.630887, YVel 4.568073, Mass 461.000000, AccelX 0.000000, AccelY -0.000000
XCoord -472893.250000, YCoord 466900.750000, XVel -4.729585, YVel 4.669420, Mass 471.000000, AccelX 0.000000, AccelY -0.000000
XCoord -482811.656250, YCoord 477111.937500, XVel -4.828362, YVel 4.770684, Mass 481.000000, AccelX 0.000000, AccelY -0.000000
XCoord -492744.093750, YCoord 487192.531250, XVel -4.927214, YVel 4.871870, Mass 491.000000, AccelX 0.000000, AccelY -0.000000
XCoord -502561.031250, YCoord 497259.312500, XVel -5.026134, YVel 4.972986, Mass 501.000000, AccelX 0.000000, AccelY -0.000000
XCoord -512495.750000, YCoord 507443.437500, XVel -5.125118, YVel 5.074038, Mass 511.000000, AccelX 0.000000, AccelY -0.000000
XCoord -522435.656250, YCoord 517505.406250, XVel -5.224158, YVel 5.175029, Mass 521.000000, AccelX 0.000000, AccelY -0.000000
XCoord -532262.500000, YCoord 527564.875000, XVel -5.323253, YVel 5.275966, Mass 531.000000, AccelX 0.000000, AccelY -0.000000
XCoord -542207.437500, YCoord 537737.875000, XVel -5.422399, YVel 5.376849, Mass 541.000000, AccelX 0.000000, AccelY -0.000000
XCoord -552162.312500, YCoord 547790.437500, XVel -5.521590, YVel 5.477685, Mass 551.000000, AccelX 0.000000, AccelY -0.000000
XCoord -562102.375000, YCoord 557841.562500, XVel -5.620823, YVel 5.578477, Mass 561.000000, AccelX 0.000000, AccelY -0.000000
XCoord -571937.437500, YCoord 567900.687500, XVel -5.720098, YVel 5.679226, Mass 571.000000, AccelX 0.000000, AccelY -0.000000
XCoord -581885.875000, YCoord 578063.562500, XVel -5.819410, YVel 5.779940, Mass 581.000000, AccelX 0.000000, AccelY -0.000000
XCoord -591869.062500, YCoord 588114.562500, XVel -5.918756, YVel 5.880615, Mass 591.000000, AccelX 0.000000, AccelY -0.000000
XCoord -601852.875000, YCoord 598131.125000, XVel -6.018134, YVel 5.981257, Mass 601.000000, AccelX 0.000000, AccelY -0.000000
XCoord -611814.375000, YCoord 608147.062500, XVel -6.117583, YVel 6.081869, Mass 611.000000, AccelX 0.000000, AccelY -0.000000
